Lines of Code,Cyclometic Complexity,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature Envy,Long Method
11,1,1,1,8,3,1,0.75,3,9,False,False
10,2,1,0,7,3,1,0.67,2,7,False,False
8,2,2,0,4,3,1,0.67,2,6,False,False
6,2,0,0,10,3,1,0.67,2,2,False,False
5,3,3,1,6,3,1,0.5,2,6,False,False
8,4,1,0,6,3,1,0.33,3,2,False,False
13,6,1,0,4,3,1,0.33,2,3,False,False
13,6,1,0,4,3,1,0.33,2,3,False,False
8,2,0,0,4,3,1,0.33,2,3,False,False
7,3,1,0,3,3,1,0.33,1,5,False,False
7,4,2,1,3,3,1,0,2,4,False,False
9,2,1,0,7,3,1,0,2,4,False,False
8,2,1,0,3,3,1,0,2,3,False,False
6,2,2,3,3,3,1,0,2,3,False,False
3,1,0,0,4,3,1,0,1,3,False,False
3,1,1,1,3,2,1,16.33,1,4,False,False
5,1,1,0,2,2,1,8,1,4,False,False
3,1,1,1,3,2,1,8,1,4,False,False
17,9,2,6,2,2,1,6.12,2,7,False,False
3,1,0,0,2,2,1,5.5,1,2,False,False
8,7,0,0,6,2,1,5,3,2,False,False
7,4,0,0,4,2,1,5,3,2,False,False
14,2,0,6,9,2,1,4.67,2,20,False,False
4,1,1,0,6,2,1,4.5,1,5,False,False
3,1,0,0,3,2,1,4.5,1,2,False,False
23,6,0,6,8,2,1,4,5,12,False,False
23,6,0,6,8,2,1,4,5,12,False,False
12,1,6,1,6,2,1,4,1,12,False,False
9,3,2,1,2,2,1,3.5,2,8,False,False
10,1,0,0,10,2,1,3.5,1,9,False,False
3,1,0,1,3,2,1,3.33,1,3,False,False
19,2,0,2,9,2,1,3,4,12,False,False
9,2,1,3,3,2,1,3,2,5,False,False
3,1,0,0,2,2,1,3,1,2,False,False
12,3,1,4,12,2,1,2.8,2,8,False,False
13,5,0,6,8,2,1,2.5,5,6,False,False
20,7,2,4,11,2,1,2.5,4,10,False,False
11,4,0,3,6,2,1,2.5,3,3,False,False
7,3,1,0,10,2,1,2.5,3,4,False,False
57,12,1,0,36,2,1,2.5,2,16,False,True
7,3,3,0,2,2,1,2.5,2,6,False,False
21,2,3,1,6,2,1,2.5,2,14,False,False
9,2,1,0,7,2,1,2.5,2,11,False,False
7,1,3,0,4,2,1,2.5,1,9,False,False
4,1,2,0,2,2,1,2.5,1,3,False,False
5,1,1,3,3,2,1,2.25,1,5,False,False
7,3,1,3,3,2,1,2,2,4,False,False
11,1,1,0,5,2,1,2,1,15,False,False
5,1,0,0,2,2,1,2,1,5,False,False
5,1,0,0,2,2,1,2,1,5,False,False
5,1,0,0,2,2,1,2,1,5,False,False
5,1,0,0,2,2,1,2,1,5,False,False
5,1,0,1,5,2,1,2,1,4,False,False
5,1,0,0,2,2,1,2,1,5,False,False
4,1,1,0,4,2,1,2,1,4,False,False
4,1,0,1,3,2,1,2,1,5,False,False
4,1,1,0,3,2,1,2,1,7,False,False
3,1,0,0,2,2,1,2,1,2,False,False
3,1,0,0,2,2,1,2,1,2,False,False
3,1,0,0,2,2,1,2,1,2,False,False
3,1,0,0,2,2,1,2,1,2,False,False
3,1,0,0,2,2,1,2,1,2,False,False
3,1,1,0,2,2,1,2,1,3,False,False
3,1,1,0,2,2,1,2,1,3,False,False
3,1,1,0,2,2,1,2,1,4,False,False
3,1,1,0,2,2,1,2,1,3,False,False
7,6,1,0,6,2,1,1.5,2,2,False,False
7,3,1,0,3,2,1,1.5,2,5,False,False
7,2,1,0,2,2,1,1.5,2,3,False,False
6,4,0,0,4,2,1,1.5,1,5,False,False
8,1,1,2,2,2,1,1.5,1,11,False,False
7,1,0,0,3,2,1,1.5,1,6,False,False
6,1,0,0,5,2,1,1.5,1,7,False,False
5,1,0,0,2,2,1,1.5,1,4,False,False
5,1,0,0,2,2,1,1.5,1,4,False,False
5,1,0,0,2,2,1,1.5,1,4,False,False
5,1,0,0,2,2,1,1.5,1,4,False,False
4,1,0,0,4,2,1,1.5,1,1,False,False
3,1,1,0,3,2,1,1.5,1,3,False,False
3,1,1,0,3,2,1,1.5,1,3,False,False
3,1,0,0,2,2,1,1.5,1,2,False,False
16,7,0,5,10,2,1,1.43,2,3,False,False
3,1,0,2,2,2,1,1.25,1,3,False,False
3,1,0,2,2,2,1,1.25,1,3,False,False
12,1,1,1,8,2,1,1,3,8,False,False
7,1,0,1,2,2,1,1,1,3,False,False
7,1,1,1,2,2,1,1,1,4,False,False
5,1,1,0,2,2,1,1,1,3,False,False
5,1,0,0,3,2,1,1,1,3,False,False
5,1,0,0,2,2,1,1,1,3,False,False
4,1,1,0,3,2,1,1,1,4,False,False
4,1,2,0,2,2,1,1,1,3,False,False
3,1,0,0,2,2,1,1,1,2,False,False
3,1,0,0,2,2,1,1,1,2,False,False
3,1,0,0,2,2,1,1,1,2,False,False
9,2,2,8,11,2,1,0.7,2,9,False,False
11,4,3,0,9,2,1,0.5,2,4,False,False
7,1,2,1,2,2,1,0.5,1,3,False,False
4,1,2,0,4,2,1,0.5,1,5,False,False
4,1,0,1,2,2,1,0.5,1,2,False,False
3,1,0,0,2,2,1,0.5,1,2,False,False
3,1,0,2,2,2,1,0.5,1,3,False,False
3,1,0,0,2,2,1,0.5,1,2,False,False
3,1,2,0,2,2,1,0.5,1,3,False,False
3,1,1,1,4,2,1,0.5,1,2,False,False
8,4,0,0,8,2,1,0,3,1,False,False
12,3,2,5,7,2,1,0,3,8,False,False
11,2,1,0,5,2,1,0,2,5,False,False
9,2,1,0,5,2,1,0,2,5,False,False
3,1,2,0,3,2,1,0,1,3,False,False
3,1,2,0,3,2,1,0,1,3,False,False
3,1,1,1,1,1,1,24.5,1,3,False,False
30,2,1,0,1,1,1,16,3,13,False,True
55,1,1,1,8,1,1,16,3,32,False,True
3,2,2,0,2,1,1,16,1,3,False,False
3,1,0,0,2,1,1,14,1,2,False,False
3,1,0,0,2,1,1,14,1,2,False,False
3,1,1,0,4,1,1,14,1,3,False,False
7,2,1,0,5,1,1,12,2,7,False,False
5,1,1,0,2,1,1,12,1,4,False,False
5,1,1,0,2,1,1,12,1,4,False,False
5,1,1,0,2,1,1,12,1,4,False,False
3,1,0,0,2,1,1,12,1,1,False,False
14,6,1,0,6,1,1,11,5,4,False,False
9,6,1,0,11,1,1,11,3,4,False,False
8,7,0,0,1,1,1,11,2,5,False,False
8,7,0,0,1,1,1,11,2,5,False,False
7,1,1,0,2,1,1,11,1,6,False,False
10,5,1,1,4,1,1,10,2,8,False,False
4,3,2,0,1,1,1,10,1,5,False,False
4,3,2,0,1,1,1,10,1,5,False,False
3,1,0,0,1,1,1,10,1,2,False,False
3,1,0,0,1,1,1,10,1,2,False,False
3,1,0,0,2,1,1,10,1,1,False,False
11,6,1,4,1,1,1,9.8,2,4,False,False
4,1,1,0,2,1,1,9,1,3,False,False
3,1,0,1,1,1,1,9,1,1,False,False
3,1,0,0,1,1,1,9,1,2,False,False
3,1,0,0,1,1,1,9,1,2,False,False
3,1,0,0,1,1,1,9,1,2,False,False
3,1,0,0,2,1,1,9,1,1,False,False
3,1,0,0,2,1,1,9,1,1,False,False
3,1,0,0,3,1,1,9,1,1,False,False
3,1,1,1,1,1,1,9,1,2,False,False
7,4,1,1,5,1,1,8,2,5,False,False
7,4,1,1,5,1,1,8,2,5,False,False
7,4,1,1,5,1,1,8,2,5,False,False
7,4,1,1,5,1,1,8,2,5,False,False
5,2,1,1,3,1,1,8,1,3,False,False
10,1,0,0,4,1,1,8,1,7,False,False
5,1,1,0,1,1,1,8,1,3,False,False
5,1,0,0,2,1,1,8,1,2,False,False
4,1,0,0,1,1,1,8,1,5,False,False
3,1,0,0,1,1,1,8,1,2,False,False
3,1,0,1,1,1,1,8,1,3,False,False
3,1,0,1,4,1,1,8,1,3,False,False
10,2,0,0,5,1,1,7,4,2,False,False
15,3,3,0,7,1,1,7,3,7,False,False
19,6,4,12,6,1,1,7,2,7,False,False
8,5,1,0,1,1,1,7,2,5,False,False
6,2,3,0,2,1,1,7,2,5,False,False
6,3,1,0,1,1,1,7,1,5,False,False
6,3,1,0,1,1,1,7,1,5,False,False
3,3,1,0,1,1,1,7,1,2,False,False
7,1,0,3,3,1,1,7,1,6,False,False
5,1,1,1,2,1,1,7,1,4,False,False
4,1,1,0,1,1,1,7,1,4,False,False
3,1,1,0,2,1,1,7,1,2,False,False
3,1,1,0,2,1,1,7,1,2,False,False
3,1,0,0,1,1,1,7,1,2,False,False
3,1,0,0,1,1,1,7,1,2,False,False
3,1,0,0,1,1,1,7,1,2,False,False
3,1,0,1,1,1,1,7,1,2,False,False
3,1,0,1,1,1,1,7,1,2,False,False
20,3,2,3,5,1,1,6,4,13,False,False
10,3,4,3,3,1,1,6,2,7,False,False
9,3,3,0,3,1,1,6,2,7,False,False
9,3,3,3,4,1,1,6,2,5,False,False
7,3,2,1,4,1,1,6,2,9,False,False
8,2,1,4,1,1,1,6,2,3,False,False
3,3,0,0,1,1,1,6,1,3,False,False
3,2,1,0,2,1,1,6,1,2,False,False
5,1,1,0,1,1,1,6,1,7,False,False
4,1,0,0,2,1,1,6,1,2,False,False
3,1,1,0,1,1,1,6,1,3,False,False
3,1,1,1,2,1,1,6,1,3,False,False
3,1,0,0,2,1,1,6,1,3,False,False
3,1,0,0,2,1,1,6,1,3,False,False
3,1,0,0,1,1,1,6,1,2,False,False
16,4,1,1,6,1,1,5,5,3,False,False
13,4,1,2,11,1,1,5,3,6,False,False
10,4,1,4,5,1,1,5,3,4,False,False
7,3,2,0,7,1,1,5,3,6,False,False
21,11,1,0,7,1,1,5,2,12,False,False
14,5,0,2,10,1,1,5,2,6,False,False
11,5,0,2,1,1,1,5,2,4,False,False
6,4,0,0,2,1,1,5,2,4,False,False
3,4,0,1,2,1,1,5,1,4,False,False
9,1,0,1,2,1,1,5,1,4,False,False
5,1,1,1,1,1,1,5,1,6,False,False
4,1,1,0,1,1,1,5,1,5,False,False
3,1,0,0,1,1,1,5,1,2,False,False
3,1,1,0,1,1,1,5,1,2,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,0,0,2,1,1,5,1,3,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,0,0,2,1,1,5,1,2,False,False
3,1,1,0,2,1,1,5,1,2,False,False
3,1,0,0,1,1,1,5,1,2,False,False
3,1,0,0,1,1,1,5,1,2,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,1,0,1,1,1,5,1,3,False,False
3,1,0,0,2,1,1,5,1,1,False,False
22,5,1,1,4,1,1,4.5,5,8,False,False
7,2,1,4,1,1,1,4.5,2,4,False,False
3,1,0,1,2,1,1,4.5,1,3,False,False
43,13,1,0,1,1,1,4,3,6,False,False
13,3,1,0,10,1,1,4,3,3,False,False
9,1,1,0,4,1,1,4,3,5,False,False
8,1,1,0,4,1,1,4,3,3,False,False
11,4,0,0,3,1,1,4,2,5,False,False
7,4,1,1,2,1,1,4,2,6,False,False
9,3,3,3,3,1,1,4,2,5,False,False
6,3,1,0,4,1,1,4,1,5,False,False
3,3,0,0,1,1,1,4,1,3,False,False
5,2,0,2,3,1,1,4,1,3,False,False
3,2,1,0,1,1,1,4,1,3,False,False
10,1,0,0,2,1,1,4,1,4,False,False
5,1,0,1,3,1,1,4,1,2,False,False
5,1,2,0,2,1,1,4,1,5,False,False
4,1,1,0,3,1,1,4,1,4,False,False
4,1,0,1,2,1,1,4,1,2,False,False
4,1,1,1,1,1,1,4,1,3,False,False
4,1,0,1,3,1,1,4,1,3,False,False
4,1,1,1,1,1,1,4,1,5,False,False
4,1,0,0,1,1,1,4,1,4,False,False
3,1,0,1,2,1,1,4,1,4,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,1,1,1,1,1,4,1,3,False,False
3,1,1,0,1,1,1,4,1,3,False,False
3,1,1,0,1,1,1,4,1,3,False,False
3,1,0,1,1,1,1,4,1,2,False,False
3,1,1,0,1,1,1,4,1,3,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,0,0,2,1,1,4,1,1,False,False
3,1,1,0,2,1,1,4,1,4,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,1,0,1,1,1,4,1,3,False,False
3,1,1,0,1,1,1,4,1,3,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,0,0,1,1,1,4,1,3,False,False
3,1,1,0,1,1,1,4,1,2,False,False
3,1,0,0,1,1,1,4,1,2,False,False
3,1,0,1,2,1,1,3.5,1,2,False,False
11,4,1,0,16,1,1,3,3,5,False,False
17,3,0,6,7,1,1,3,2,10,False,False
18,2,1,0,4,1,1,3,2,5,False,False
5,2,0,3,1,1,1,3,2,2,False,False
5,2,0,3,1,1,1,3,2,2,False,False
6,3,1,0,2,1,1,3,1,4,False,False
6,1,1,0,2,1,1,3,1,6,False,False
4,1,1,0,2,1,1,3,1,3,False,False
4,1,1,0,3,1,1,3,1,3,False,False
4,1,1,0,3,1,1,3,1,3,False,False
4,1,0,0,3,1,1,3,1,2,False,False
4,1,1,0,3,1,1,3,1,3,False,False
4,1,0,0,3,1,1,3,1,2,False,False
3,1,1,0,2,1,1,3,1,4,False,False
3,1,0,0,1,1,1,3,1,2,False,False
3,1,1,0,1,1,1,3,1,3,False,False
3,1,0,0,3,1,1,3,1,1,False,False
3,1,0,0,2,1,1,3,1,2,False,False
3,1,1,0,1,1,1,3,1,2,False,False
3,1,0,0,1,1,1,3,1,2,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,2,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,1,False,False
3,1,0,0,1,1,1,3,1,2,False,False
3,1,1,0,1,1,1,3,1,3,False,False
3,1,1,0,1,1,1,3,1,3,False,False
3,1,1,0,1,1,1,3,1,3,False,False
3,1,1,0,1,1,1,3,1,3,False,False
3,1,1,0,1,1,1,3,1,3,False,False
13,6,1,1,16,1,1,2.5,2,12,False,False
6,2,1,4,1,1,1,2.5,2,2,False,False
3,1,0,1,1,1,1,2.5,1,3,False,False
3,1,0,1,2,1,1,2.5,1,2,False,False
3,1,0,1,2,1,1,2.5,1,2,False,False
3,1,0,1,3,1,1,2.5,1,3,False,False
14,5,1,0,15,1,1,2,4,3,False,False
9,4,2,0,4,1,1,2,3,5,False,False
12,4,0,0,1,1,1,2,2,4,False,False
12,2,3,4,4,1,1,2,2,7,False,False
5,2,0,3,1,1,1,2,2,1,False,False
3,1,1,0,2,1,1,2,2,2,False,False
5,3,2,0,3,1,1,2,1,4,False,False
4,3,2,0,1,1,1,2,1,5,False,False
9,1,4,1,1,1,1,2,1,7,False,False
6,1,3,0,3,1,1,2,1,7,False,False
6,1,1,2,1,1,1,2,1,10,False,False
4,1,0,0,2,1,1,2,1,3,False,False
4,1,1,0,1,1,1,2,1,3,False,False
4,1,0,1,2,1,1,2,1,2,False,False
4,1,1,0,2,1,1,2,1,4,False,False
4,1,0,0,2,1,1,2,1,1,False,False
4,1,4,0,2,1,1,2,1,5,False,False
4,1,0,2,2,1,1,2,1,1,False,False
4,1,1,0,2,1,1,2,1,4,False,False
4,1,1,0,2,1,1,2,1,3,False,False
3,1,0,0,3,1,1,2,1,1,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,0,0,2,1,1,2,1,1,False,False
3,1,1,0,1,1,1,2,1,3,False,False
3,1,0,0,1,1,1,2,1,2,False,False
3,1,1,0,1,1,1,2,1,2,False,False
3,1,1,0,2,1,1,2,1,2,False,False
3,1,0,0,1,1,1,2,1,2,False,False
3,1,1,0,1,1,1,2,1,2,False,False
3,1,1,0,1,1,1,2,1,2,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,1,0,1,1,1,2,1,2,False,False
3,1,1,0,1,1,1,2,1,2,False,False
3,1,0,1,2,1,1,2,1,2,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,1,0,2,1,1,2,1,3,False,False
3,1,0,2,2,1,1,1.67,1,3,False,False
5,2,0,1,4,1,1,1.5,1,5,False,False
5,2,0,1,4,1,1,1.5,1,5,False,False
3,1,0,1,1,1,1,1.5,1,3,False,False
4,3,1,0,2,1,1,1,1,4,False,False
4,1,1,1,1,1,1,1,1,3,False,False
3,1,1,0,1,1,1,1,1,2,False,False
3,1,0,0,2,1,1,1,1,1,False,False
3,1,0,0,2,1,1,1,1,1,False,False
3,1,1,1,1,1,1,1,1,2,False,False
3,1,1,1,2,1,1,1,1,3,False,False
3,1,0,0,1,1,1,1,1,1,False,False
3,1,0,1,2,1,1,1,1,3,False,False
3,1,1,0,3,1,1,1,1,2,False,False
7,4,0,3,2,1,1,0.75,2,5,False,False
7,4,0,3,2,1,1,0.75,2,5,False,False
5,2,1,3,2,1,1,0.5,2,2,False,False
3,1,0,1,2,1,1,0.5,1,2,False,False
3,1,0,1,2,1,1,0.5,1,2,False,False
15,5,2,9,20,1,1,0.25,3,6,False,False
10,2,0,4,10,1,1,0.2,2,6,False,False
29,6,0,0,5,1,1,0,4,1,False,False
8,4,2,1,4,1,1,0,3,3,False,False
9,5,1,0,1,1,1,0,2,2,False,False
14,3,2,0,1,1,1,0,2,6,False,False
6,3,2,0,3,1,1,0,2,3,False,False
15,2,1,0,1,1,1,0,2,4,False,False
7,2,1,1,1,1,1,0,2,3,False,False
5,2,0,0,4,1,1,0,2,1,False,False
3,2,1,0,1,1,1,0,1,2,False,False
4,1,1,1,1,1,1,0,1,3,False,False
3,1,0,1,1,1,1,0,1,2,False,False
3,1,0,1,1,1,1,0,1,2,False,False
3,1,1,0,2,1,1,0,1,2,False,False
3,1,1,0,2,1,1,0,1,2,False,False
3,1,1,0,2,1,1,0,1,2,False,False
3,1,1,0,2,1,1,0,1,2,False,False
3,1,2,1,2,1,1,0,1,3,False,False
3,1,0,0,1,1,1,0,1,1,False,False
3,1,0,0,2,1,1,0,1,1,False,False
3,1,0,0,1,1,1,0,1,1,False,False
3,1,0,0,1,1,1,0,1,1,False,False
3,1,0,0,1,1,1,0,1,1,False,False
3,1,1,0,3,1,1,0,1,2,False,False
30,11,0,8,73,23,0,0.26,4,8,False,False
25,7,0,5,39,20,0,0.7,4,12,False,False
51,2,0,5,62,19,0,0.25,4,16,False,True
14,8,1,6,24,18,0,0.12,3,13,False,False
44,12,0,22,19,16,0,0.88,4,11,False,True
28,9,1,0,35,15,0,0.53,4,19,False,False
12,5,1,3,14,14,0,1,2,9,False,False
14,7,1,0,28,14,0,0.43,4,7,False,False
15,5,1,3,35,13,0,0.23,3,4,False,False
6,2,5,0,15,12,0,0.08,2,9,False,False
15,1,0,0,22,11,0,0.55,1,13,False,False
7,3,1,0,12,9,0,1.22,3,5,False,False
13,4,1,4,15,9,0,1,3,10,False,False
16,6,2,0,26,9,0,0.44,4,8,False,False
10,2,1,0,15,9,0,0.22,2,11,False,False
28,1,0,1,16,7,0,1.14,3,16,False,False
6,4,5,0,7,7,0,0.71,2,12,False,False
79,16,0,1,14,6,0,1.71,4,21,False,True
9,5,0,0,6,6,0,1.33,3,4,False,False
25,8,1,2,32,6,0,0.83,3,4,False,False
7,2,0,0,12,6,0,0.83,2,6,False,False
6,3,0,6,10,6,0,0.75,2,5,False,False
6,2,1,6,6,6,0,0.44,2,6,False,False
6,2,0,1,9,5,0,0.83,2,7,False,False
6,2,2,2,5,5,0,0.8,2,4,False,False
23,1,0,3,7,5,0,0.4,3,9,False,False
11,1,1,0,5,5,0,0.2,2,6,False,False
15,7,1,0,25,5,0,0,3,3,False,False
9,2,2,0,6,5,0,0,2,7,False,False
13,1,0,0,11,4,0,12.25,1,17,False,True
6,2,1,3,10,4,0,2.75,2,8,False,False
42,12,2,6,45,4,0,2.5,3,7,False,True
32,5,2,0,5,4,0,2,5,5,False,False
5,2,1,3,4,4,0,2,2,3,False,False
9,1,1,0,10,4,0,2,2,8,False,False
3,1,0,0,4,4,0,1.75,1,6,False,False
14,4,4,4,10,4,0,1.25,4,8,False,False
6,2,0,1,7,4,0,1.25,2,5,False,False
11,1,1,2,5,4,0,0.83,1,10,False,False
21,10,0,0,13,4,0,0.75,2,5,False,False
7,5,1,3,12,4,0,0.71,3,7,False,False
17,6,1,0,31,4,0,0.5,4,5,False,False
15,5,1,0,9,4,0,0.5,3,5,False,False
9,2,6,0,8,4,0,0.25,2,8,False,False
31,1,2,1,21,4,0,0,7,7,False,False
26,1,0,1,17,4,0,0,5,6,False,False
21,3,2,0,8,4,0,0,2,8,False,False
9,3,1,0,10,4,0,0,2,5,False,False
8,2,2,0,19,4,0,0,2,4,False,False
6,2,2,3,5,4,0,0,2,5,False,False
13,4,0,1,33,3,0,3.67,3,11,False,False
6,2,1,3,9,3,0,3.67,2,6,False,False
20,8,1,0,10,3,0,3.33,3,7,False,False
6,2,1,0,9,3,0,2.67,2,4,False,False
3,1,0,0,3,3,0,2.33,1,5,False,False
12,3,1,4,5,3,0,2,2,4,False,False
5,2,0,0,3,3,0,2,2,4,False,False
4,1,1,2,4,3,0,1.8,1,9,False,False
11,3,1,0,7,3,0,1.67,3,3,False,False
34,16,1,0,19,3,0,1.33,4,14,False,False
13,5,0,0,3,3,0,1.33,2,4,False,False
45,1,0,1,16,3,0,1,3,5,False,True
9,3,0,0,3,3,0,1,2,5,False,False
3,1,0,0,4,3,0,1,1,3,False,False
29,1,3,0,8,3,0,0.67,1,9,False,False
17,1,1,0,5,3,0,0.67,1,7,False,False
23,2,1,0,4,3,0,0.33,4,10,False,False
8,2,1,0,3,3,0,0.33,2,3,False,False
20,1,0,1,9,3,0,0,3,8,False,False
4,1,1,0,2,2,0,24.5,1,6,False,False
7,4,0,0,6,2,0,8,3,2,False,False
11,1,2,1,6,2,0,8,3,3,False,False
3,1,3,0,3,2,0,8,1,5,False,False
8,6,0,0,10,2,0,6,3,4,False,False
11,2,0,1,6,2,0,5.5,4,7,False,False
16,2,0,0,11,2,0,5.5,2,6,False,False
4,1,1,0,3,2,0,5.5,1,5,False,False
21,12,1,0,10,2,0,5,2,4,False,False
21,2,1,7,18,2,0,4,4,10,False,False
12,2,1,1,5,2,0,4,4,4,False,False
14,4,0,1,14,2,0,4,3,6,False,False
18,3,1,1,5,2,0,3,4,11,False,False
14,4,1,0,13,2,0,3,3,8,False,False
5,3,1,3,2,2,0,3,2,4,False,False
3,1,1,0,2,2,0,3,1,4,False,False
3,1,1,0,2,2,0,3,1,4,False,False
7,3,1,6,3,2,0,2.5,3,5,False,False
13,2,0,0,6,2,0,2.5,3,1,False,False
8,7,1,3,2,2,0,2.5,1,9,False,False
3,1,2,0,2,2,0,2.5,1,3,False,False
10,12,1,0,12,2,0,2,2,2,False,False
4,1,0,1,4,2,0,2,1,4,False,False
7,3,1,0,2,2,0,1.5,2,5,False,False
3,1,1,0,3,2,0,1.5,1,4,False,False
42,10,0,8,54,2,0,1,6,21,False,True
42,10,0,8,54,2,0,1,6,21,False,True
15,1,3,1,10,2,0,1,5,8,False,False
15,1,3,1,10,2,0,1,5,8,False,False
6,2,0,2,2,2,0,1,1,3,False,False
10,1,1,2,2,2,0,1,1,5,False,False
3,1,0,0,2,2,0,0.5,1,2,False,False
19,9,2,16,4,2,0,0.33,2,8,False,False
23,5,2,0,21,2,0,0,4,8,False,False
13,3,2,1,8,2,0,0,4,3,False,False
7,3,0,0,8,2,0,0,3,1,False,False
4,1,1,0,2,2,0,0,1,3,False,False
3,1,0,1,1,1,0,24.5,1,3,False,False
4,3,0,0,2,1,0,17,1,2,False,False
3,1,1,0,1,1,0,17,1,3,False,False
8,1,2,0,4,1,0,14,1,5,False,False
14,2,2,0,4,1,0,12,3,10,False,False
6,1,0,1,2,1,0,12,1,6,False,False
3,1,0,0,1,1,0,12,1,1,False,False
12,2,0,1,5,1,0,11,4,5,False,False
10,1,2,0,5,1,0,11,1,6,False,False
6,3,1,0,1,1,0,9,2,2,False,False
3,2,0,0,1,1,0,9,1,2,False,False
3,1,0,0,2,1,0,9,1,1,False,False
3,1,0,0,2,1,0,9,1,1,False,False
3,1,0,0,1,1,0,9,1,2,False,False
3,1,0,1,1,1,0,9,1,1,False,False
6,2,1,3,4,1,0,8,2,3,False,False
5,2,1,3,1,1,0,8,2,2,False,False
5,2,1,0,5,1,0,8,2,2,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,0,0,2,1,0,8,1,3,False,False
3,1,0,0,1,1,0,8,1,2,False,False
3,1,1,1,1,1,0,8,1,3,False,False
6,3,0,0,2,1,0,7,2,4,False,False
3,2,0,0,1,1,0,7,1,2,False,False
6,1,1,0,1,1,0,7,1,5,False,False
7,3,1,1,1,1,0,6,2,4,False,False
8,2,1,3,3,1,0,6,2,7,False,False
5,2,2,0,7,1,0,6,2,3,False,False
4,1,1,0,2,1,0,6,1,2,False,False
4,1,1,1,1,1,0,6,1,3,False,False
4,1,0,1,1,1,0,6,1,3,False,False
4,1,1,0,2,1,0,6,1,4,False,False
4,1,1,0,3,1,0,6,1,4,False,False
3,1,1,0,1,1,0,6,1,2,False,False
3,1,0,1,1,1,0,6,1,3,False,False
3,1,1,1,1,1,0,5.5,1,4,False,False
95,15,1,0,1,1,0,5,4,24,False,True
9,6,5,0,1,1,0,5,2,11,False,False
10,1,1,0,2,1,0,5,1,8,False,False
3,1,0,0,2,1,0,5,1,1,False,False
3,1,0,0,1,1,0,5,1,3,False,False
3,1,0,0,1,1,0,5,1,2,False,False
3,1,1,0,1,1,0,5,1,3,False,False
3,1,1,0,1,1,0,5,1,2,False,False
3,1,0,0,2,1,0,5,1,4,False,False
3,1,0,0,2,1,0,5,1,1,False,False
4,1,1,2,3,1,0,4.5,1,3,False,False
7,1,1,0,2,1,0,4,1,3,False,False
6,1,1,0,2,1,0,4,1,4,False,False
5,1,1,0,1,1,0,4,1,3,False,False
4,1,1,0,4,1,0,4,1,5,False,False
3,1,0,0,1,1,0,4,1,2,False,False
3,1,0,0,1,1,0,4,1,1,False,False
16,3,0,3,6,1,0,3.67,5,3,False,False
15,6,6,0,6,1,0,3,3,12,False,False
5,2,1,3,2,1,0,3,2,2,False,False
5,1,1,1,1,1,0,3,1,5,False,False
4,1,0,1,1,1,0,3,1,3,False,False
3,1,0,0,1,1,0,3,1,2,False,False
3,1,0,0,1,1,0,3,1,2,False,False
3,1,0,0,1,1,0,3,1,2,False,False
3,1,0,0,1,1,0,3,1,2,False,False
3,1,1,1,1,1,0,3,1,3,False,False
3,1,0,0,1,1,0,3,1,2,False,False
4,1,1,1,1,1,0,2.5,1,5,False,False
16,7,1,5,1,1,0,2,3,4,False,False
5,1,1,1,1,1,0,2,1,4,False,False
4,1,1,0,4,1,0,2,1,5,False,False
4,1,1,0,3,1,0,2,1,2,False,False
3,1,0,0,1,1,0,2,1,1,False,False
3,1,1,0,1,1,0,2,1,2,False,False
10,1,1,1,6,1,0,1.5,3,7,False,False
10,1,1,1,6,1,0,1.5,3,7,False,False
12,7,0,2,20,1,0,1.5,2,5,False,False
6,3,1,1,2,1,0,1.5,2,3,False,False
7,1,1,1,1,1,0,1,1,3,False,False
5,1,0,0,2,1,0,1,1,2,False,False
4,1,0,1,2,1,0,1,1,1,False,False
